	
	Sensitivity=5 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-4.068399E-4	3.251312E-5	4.081370E-4	1.754308E+2	3.410050E+3	3.275500E+1	3.500200E+1	-4.569272E-2	-4.351687E-4
-2.000000E+2	-4.070655E-4	3.250515E-5	4.083612E-4	1.754345E+2	3.410050E+3	3.275300E+1	3.500200E+1	0.000000E+0	
-3.000000E+2	-4.066242E-4	3.250763E-5	4.079215E-4	1.754292E+2	3.410050E+3	3.275600E+1	3.500100E+1	0.000000E+0	
-4.000000E+2	-4.068379E-4	3.250600E-5	4.081344E-4	1.754318E+2	3.410050E+3	3.275400E+1	3.499900E+1	0.000000E+0	
-5.000000E+2	-4.063904E-4	3.250818E-5	4.076885E-4	1.754265E+2	3.410050E+3	3.275400E+1	3.499900E+1	0.000000E+0	
-6.000000E+2	-4.063977E-4	3.250991E-5	4.076960E-4	1.754263E+2	3.410050E+3	3.275800E+1	3.500000E+1	0.000000E+0	
-7.000000E+2	-4.061869E-4	3.250682E-5	4.074856E-4	1.754244E+2	3.410050E+3	3.275500E+1	3.500100E+1	0.000000E+0	
-8.000000E+2	-4.061824E-4	3.250284E-5	4.074807E-4	1.754249E+2	3.410050E+3	3.275600E+1	3.499900E+1	0.000000E+0	
-9.000000E+2	-4.059612E-4	3.250698E-5	4.072606E-4	1.754219E+2	3.410050E+3	3.275200E+1	3.500000E+1	0.000000E+0	
-1.000000E+3	-4.059541E-4	3.250546E-5	4.072534E-4	1.754220E+2	3.410050E+3	3.275100E+1	3.500000E+1	0.000000E+0	
-1.100000E+3	-4.057428E-4	3.250856E-5	4.070430E-4	1.754192E+2	3.410050E+3	3.275200E+1	3.499900E+1	0.000000E+0	
-1.200000E+3	-4.055159E-4	3.250316E-5	4.068164E-4	1.754174E+2	3.410050E+3	3.275100E+1	3.500100E+1	0.000000E+0	
-1.300000E+3	-4.053079E-4	3.272680E-5	4.066271E-4	1.753836E+2	3.410050E+3	3.275500E+1	3.500000E+1	0.000000E+0	
-1.400000E+3	-4.050749E-4	3.272258E-5	4.063944E-4	1.753816E+2	3.410050E+3	3.275600E+1	3.500000E+1	0.000000E+0	
-1.500000E+3	-4.046345E-4	3.272550E-5	4.059557E-4	1.753762E+2	3.410050E+3	3.275200E+1	3.499900E+1	0.000000E+0	
-1.600000E+3	-4.044283E-4	3.272666E-5	4.057503E-4	1.753737E+2	3.410050E+3	3.275200E+1	3.499900E+1	0.000000E+0	
-1.700000E+3	-4.037609E-4	3.272055E-5	4.050845E-4	1.753669E+2	3.410050E+3	3.275300E+1	3.499800E+1	0.000000E+0	
-1.800000E+3	-4.038070E-4	3.294977E-5	4.051491E-4	1.753351E+2	3.410050E+3	3.275200E+1	3.500100E+1	0.000000E+0	
-1.900000E+3	-4.029343E-4	3.294398E-5	4.042788E-4	1.753259E+2	3.410050E+3	3.275500E+1	3.500000E+1	0.000000E+0	
-2.000000E+3	-4.024903E-4	3.294577E-5	4.038365E-4	1.753205E+2	3.410050E+3	3.275300E+1	3.499900E+1	0.000000E+0	
-2.100000E+3	-4.013798E-4	3.316244E-5	4.027475E-4	1.752769E+2	3.410050E+3	3.275000E+1	3.499900E+1	0.000000E+0	
-2.200000E+3	-4.002937E-4	3.338114E-5	4.016832E-4	1.752330E+2	3.410050E+3	3.275200E+1	3.500100E+1	0.000000E+0	
-2.300000E+3	-3.988599E-4	3.360308E-5	4.002729E-4	1.751843E+2	3.410050E+3	3.275400E+1	3.500100E+1	0.000000E+0	
-2.400000E+3	-3.974078E-4	3.381454E-5	3.988438E-4	1.751365E+2	3.410050E+3	3.275300E+1	3.500000E+1	0.000000E+0	
-2.500000E+3	-3.949105E-4	3.405331E-5	3.963760E-4	1.750716E+2	3.410050E+3	3.275300E+1	3.500000E+1	0.000000E+0	
-2.600000E+3	-3.924540E-4	3.449613E-5	3.939671E-4	1.749767E+2	3.410050E+3	3.275700E+1	3.500000E+1	0.000000E+0	
-2.700000E+3	-3.881242E-4	3.514844E-5	3.897125E-4	1.748254E+2	3.410050E+3	3.275200E+1	3.500000E+1	0.000000E+0	
-2.800000E+3	-3.837299E-4	3.559735E-5	3.853775E-4	1.747000E+2	3.410050E+3	3.275500E+1	3.500100E+1	0.000000E+0	
-2.900000E+3	-3.763233E-4	3.655194E-5	3.780943E-4	1.744523E+2	3.410050E+3	3.275300E+1	3.500100E+1	0.000000E+0	
-3.000000E+3	-3.695158E-4	3.780423E-5	3.714446E-4	1.741585E+2	3.410050E+3	3.275600E+1	3.500000E+1	0.000000E+0	
-3.100000E+3	-3.589933E-4	3.933410E-5	3.611417E-4	1.737472E+2	3.410050E+3	3.275700E+1	3.500000E+1	0.000000E+0	
-3.200000E+3	-3.489236E-4	4.072810E-5	3.512925E-4	1.733423E+2	3.410050E+3	3.275700E+1	3.500100E+1	0.000000E+0	
-3.300000E+3	-3.364090E-4	4.252818E-5	3.390865E-4	1.727950E+2	3.410050E+3	3.275200E+1	3.500200E+1	0.000000E+0	
-3.400000E+3	-3.247635E-4	4.429632E-5	3.277705E-4	1.722330E+2	3.410050E+3	3.275200E+1	3.500200E+1	0.000000E+0	
-3.500000E+3	-3.136381E-4	4.582915E-5	3.169687E-4	1.716867E+2	3.410050E+3	3.275000E+1	3.500100E+1	0.000000E+0	
-3.600000E+3	-3.039687E-4	4.713844E-5	3.076020E-4	1.711850E+2	3.410050E+3	3.275600E+1	3.500100E+1	0.000000E+0	
-3.700000E+3	-2.956399E-4	4.843176E-5	2.995807E-4	1.706964E+2	3.410050E+3	3.275700E+1	3.500200E+1	0.000000E+0	
-3.800000E+3	-2.898668E-4	4.934495E-5	2.940369E-4	1.703390E+2	3.410050E+3	3.275100E+1	3.500100E+1	0.000000E+0	
-3.900000E+3	-2.851221E-4	4.976161E-5	2.894319E-4	1.701000E+2	3.410050E+3	3.275300E+1	3.500100E+1	0.000000E+0	
-4.000000E+3	-2.831424E-4	5.020399E-5	2.875588E-4	1.699454E+2	3.410050E+3	3.275200E+1	3.500000E+1	0.000000E+0	
-4.100000E+3	-2.820421E-4	5.019969E-5	2.864747E-4	1.699078E+2	3.410050E+3	3.275500E+1	3.500100E+1	0.000000E+0	
-4.200000E+3	-2.827188E-4	5.019859E-5	2.871408E-4	1.699317E+2	3.410050E+3	3.275400E+1	3.500100E+1	0.000000E+0	
-4.300000E+3	-2.855658E-4	4.975738E-5	2.898683E-4	1.701159E+2	3.410050E+3	3.275300E+1	3.500100E+1	0.000000E+0	
-4.400000E+3	-2.896800E-4	4.912118E-5	2.938152E-4	1.703759E+2	3.410050E+3	3.275200E+1	3.500100E+1	0.000000E+0	
-4.500000E+3	-2.964481E-4	4.802395E-5	3.003128E-4	1.707981E+2	3.410050E+3	3.275200E+1	3.500100E+1	0.000000E+0	
-4.600000E+3	-3.045778E-4	4.691377E-5	3.081697E-4	1.712436E+2	3.410050E+3	3.274800E+1	3.500100E+1	0.000000E+0	
-4.700000E+3	-3.162185E-4	4.516935E-5	3.194283E-4	1.718707E+2	3.410050E+3	3.275600E+1	3.500100E+1	0.000000E+0	
-4.800000E+3	-3.262335E-4	4.363089E-5	3.291382E-4	1.723824E+2	3.410050E+3	3.275200E+1	3.500100E+1	0.000000E+0	
-4.900000E+3	-3.396271E-4	4.174886E-5	3.421835E-4	1.729920E+2	3.410050E+3	3.275500E+1	3.500200E+1	0.000000E+0	
-5.000000E+3	-3.502029E-4	4.042458E-5	3.525284E-4	1.734154E+2	3.410050E+3	3.275500E+1	3.500100E+1	0.000000E+0	
-5.100000E+3	-3.616652E-4	3.867714E-5	3.637275E-4	1.738959E+2	3.410050E+3	3.275400E+1	3.500100E+1	0.000000E+0	
-5.200000E+3	-3.710425E-4	3.735973E-5	3.729186E-4	1.742503E+2	3.410050E+3	3.275300E+1	3.500100E+1	0.000000E+0	
-5.300000E+3	-3.800531E-4	3.589734E-5	3.817446E-4	1.746042E+2	3.410050E+3	3.275200E+1	3.500100E+1	0.000000E+0	
-5.400000E+3	-3.871078E-4	3.514644E-5	3.887001E-4	1.748122E+2	3.410050E+3	3.275000E+1	3.500200E+1	0.000000E+0	
-5.500000E+3	-3.948622E-4	3.387620E-5	3.963127E-4	1.750965E+2	3.410050E+3	3.275200E+1	3.500100E+1	0.000000E+0	
-5.600000E+3	-4.013810E-4	3.310660E-5	4.027440E-4	1.752848E+2	3.410050E+3	3.275100E+1	3.500100E+1	0.000000E+0	
-5.700000E+3	-4.089134E-4	3.185322E-5	4.101522E-4	1.755458E+2	3.410050E+3	3.275000E+1	3.500100E+1	0.000000E+0	
-5.800000E+3	-4.159280E-4	3.098078E-5	4.170802E-4	1.757401E+2	3.410050E+3	3.274700E+1	3.500200E+1	0.000000E+0	
-5.900000E+3	-4.263688E-4	2.921528E-5	4.273685E-4	1.760802E+2	3.410050E+3	3.275400E+1	3.500100E+1	0.000000E+0	
-6.000000E+3	-4.355099E-4	2.799740E-5	4.364089E-4	1.763217E+2	3.410050E+3	3.275700E+1	3.500200E+1	0.000000E+0	
-6.100000E+3	-4.477355E-4	2.622069E-5	4.485026E-4	1.766484E+2	3.410050E+3	3.275500E+1	3.500400E+1	0.000000E+0	
-6.200000E+3	-4.597512E-4	2.448205E-5	4.604026E-4	1.769518E+2	3.410050E+3	3.275500E+1	3.500200E+1	0.000000E+0	
-6.300000E+3	-4.734533E-4	2.250775E-5	4.739880E-4	1.772782E+2	3.410050E+3	3.275200E+1	3.500100E+1	0.000000E+0	
